"userId","movieId","rating"
1,253,4
1,260,4
1,293,4
1,296,4
1,318,4
1,337,3.5
1,367,3.5
1,541,4
1,589,3.5
1,593,3.5
1,919,3.5
1,924,3.5
1,1009,3.5
1,1036,4
1,1079,4
1,1080,3.5
1,1089,3.5
1,1090,4
1,1097,4
1,1136,3.5
1,1193,3.5
1,1196,4.5
1,1198,4.5
1,1200,4
1,1208,3.5
1,1214,4
1,1215,4
1,1217,3.5
1,1219,4
1,1222,3.5
1,1240,4
1,1246,3.5
1,1249,4
1,1258,4
1,1259,4
1,1261,3.5
1,1262,3.5
1,1266,4
1,1278,4
1,1291,3.5
1,1321,4
1,1333,4
1,1348,3.5
1,1350,3.5
1,1358,4
1,1374,4
1,1387,4
1,1584,3.5
1,1750,3.5
1,1848,3.5
1,1920,3.5
1,1967,4
1,1994,3.5
1,1997,3.5
1,2021,4
1,2100,4
1,2118,4
1,2138,4
1,2140,4
1,2143,4
1,2173,4
1,2174,4
1,2193,4
1,2194,3.5
1,2253,3.5
1,2288,4
1,2291,4
1,2542,4
1,2628,4
1,2644,3.5
1,2648,3.5
1,2664,3.5
1,2683,3.5
1,2692,3.5
1,2716,3.5
1,2762,4
1,2804,3.5
1,2872,4
1,2918,3.5
1,2944,4
1,2947,3.5
1,2959,4
1,2968,4
1,3000,3.5
1,3037,3.5
1,3081,4
1,3153,4
1,3265,3.5
1,3438,3.5
1,3476,3.5
1,3479,4
1,3489,4
1,3499,4
1,3889,4
1,3996,4
1,3997,3.5
1,4011,4
1,4027,4
1,4105,3.5
1,4128,4
1,4226,3.5
1,4306,4
1,4446,3.5
1,4467,4
1,4571,4
1,4720,3.5
1,4754,4
1,4878,3.5
1,4896,4
1,4911,4
1,4941,3.5
